player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Alex Delton,34840,QB,KANSAS ST,5,67.1,70,76,12.1,2.9,3,4,4.8,56.6,43,0,22,8.5,84,4,24,199,47.6,62.5,59.1,62.9,2,2,92,2,18.2,77.4,4.8,4,4,0,1,2,7,7.6,554,7.3
Skylar Thompson,60417,QB,KANSAS ST,6,74.6,71,76,11.1,3.57,0,6,7.0,63.2,48,0,33,9.4,103,5,33,199,65.8,65.1,69.3,58.7,0,2,113,3,33.3,102.0,10.7,11,16,0,5,5,5,4.4,662,8.7
Daniel Parr,34390,QB,FAU,4,63.5,74,76,9.4,2.51,0,2,2.3,57.9,44,0,28,6.4,97,3,22,165,39.7,52.5,47.5,66.7,0,2,108,0,35.7,89.9,10.3,10,8,0,2,4,4,3.7,602,7.9
Nick Smith,30748,QB,WYOMING,4,65.2,69,75,8.5,2.78,2,2,2.6,53.3,40,0,25,11.1,82,5,18,351,55.6,57.8,59.3,55.1,1,2,84,1,16.0,70.5,4.9,4,3,1,2,2,2,2.4,471,6.3
Darius Wade,28055,QB,BOSTON COL,7,74.3,70,75,7.1,2.85,1,5,6.6,61.3,46,0,29,11.5,88,6,25,121,27.1,62.0,68.9,40.4,2,1,90,0,20.7,85.6,6.8,6,7,1,1,2,5,5.6,523,7.0
Zach Abey,35594,QB,NAVY,11,52.9,68,73,17.2,2.7,1,6,8.2,42.5,31,0,40,13.9,94,5,24,237,34.0,62.8,65.5,58.7,2,7,94,0,30.0,75.2,12.8,12,9,2,0,7,7,7.4,795,10.9
Sam Glaesmann,40141,QB,RICE,6,53.8,65,72,11.7,2.79,2,7,9.2,44.4,32,0,31,8.6,94,3,23,275,16.9,34.0,31.3,52.3,1,6,98,1,29.0,47.2,9.6,9,13,0,4,3,10,10.2,500,6.9
Brandon Harris,46538,QB,N CAROLINA,6,62.7,67,71,11.7,2.73,1,2,2.7,49.3,35,0,31,16.7,85,7,25,245,75.8,53.8,41.8,74.1,1,8,87,0,22.6,28.6,8.2,7,7,0,2,1,7,8.0,346,4.9
Nick Jeanty,26496,QB,NEW MEX ST,3,76.9,65,71,5.5,2.06,2,2,2.8,67.6,48,0,23,4.0,75,2,21,242,72.9,66.1,62.0,69.1,0,4,75,0,13.0,62.0,4.0,3,1,0,4,1,3,4.0,381,5.4
Kenny Pickett,60515,QB,PITTSBURGH,4,67.7,65,67,10.8,3.17,1,2,2.9,58.2,39,0,25,11.4,84,5,23,268,74.3,58.6,55.4,63.1,0,1,86,0,28.0,80.5,8.3,7,10,1,0,1,3,3.5,501,7.5
Blake LaRussa,28141,QB,DOMINION,5,66.1,62,67,9.4,2.45,2,1,1.4,55.2,37,0,25,9.8,78,4,22,263,72.7,63.0,56.5,73.3,0,3,80,1,12.0,69.9,3.8,3,6,0,3,3,4,5.0,411,6.1
Cam Thomas,60406,QB,ILLINOIS,4,53.2,62,66,12.6,2.8,1,3,4.5,42.4,28,0,28,15.2,80,5,16,187,47.7,45.7,29.6,72.9,2,5,80,2,32.1,29.5,11.3,9,5,0,1,0,7,8.8,375,5.7
Zeb Noland,40508,QB,IOWA STATE,4,65.1,63,66,8.9,2.2,1,4,5.7,54.5,36,0,15,12.2,67,5,23,193,46.6,59.0,63.2,40.0,2,1,71,1,6.7,85.0,1.5,1,0,0,0,2,4,5.6,533,8.1
Brandon Peters,40416,QB,MICHIGAN,5,61.9,63,64,9.8,3.04,0,1,1.5,57.8,37,0,31,5.1,75,2,26,222,45.4,55.2,60.4,35.2,1,0,78,0,19.4,102.7,8.0,6,5,0,0,4,2,2.6,486,7.6
Chris Chugunov,34153,QB,W VIRGINIA,4,70.5,61,62,13.1,2.54,1,3,4.5,54.8,34,0,15,20.9,66,9,16,343,45.6,59.6,59.8,56.7,0,0,71,2,20.0,85.9,4.5,3,1,0,0,2,3,4.2,407,6.6
Colton Richardson,60404,QB,IDAHO,2,67.2,58,61,11.2,2.67,1,4,6.2,54.1,33,0,39,15.4,80,6,20,185,71.8,55.9,55.7,59.8,1,1,84,1,35.9,78.3,17.5,14,4,0,1,2,3,3.6,396,6.5
Garrett Smith,46568,QB,LA MONROE,4,70.7,58,60,8.4,2.33,1,1,1.6,58.3,35,0,21,14.6,65,6,24,209,35.7,51.9,54.3,55.8,0,3,68,2,19.0,98.0,6.2,4,1,0,1,5,4,5.9,581,9.7
Dwayne Haskins,41897,QB,OHIO STATE,8,75.0,56,57,7.6,2.55,1,3,4.8,70.2,40,0,16,4.8,65,2,24,260,36.3,68.6,74.4,52.3,0,1,70,0,18.8,117.9,4.6,3,5,0,0,4,2,2.9,565,9.9
Kyle Vantrease,55029,QB,BUFFALO,2,46.4,56,57,15.4,2.7,1,3,5.0,43.9,25,0,25,3.8,65,1,13,126,45.4,28.3,29.5,37.6,0,2,68,0,24.0,61.7,9.2,6,2,0,0,2,9,13.2,355,6.2
Malik Zaire,46634,QB,FLORIDA,4,68.6,51,56,8.2,3.29,2,3,5.3,57.1,32,0,36,8.6,67,3,17,163,29.8,64.0,64.3,58.8,1,1,68,0,19.4,68.2,10.4,7,4,0,2,0,5,7.4,349,6.2
Ian Book,40216,QB,NOTRE DAME,7,69.8,53,56,10.6,3.11,1,2,3.4,57.1,32,0,14,13.5,67,5,21,258,55.6,55.6,50.4,63.0,0,3,69,0,21.4,61.0,4.5,3,8,0,2,2,4,5.8,292,5.2
Levi Lewis,60428,QB,LA LAFAYET,4,66.7,45,54,9.2,3.4,1,0,0.0,51.9,28,0,31,6.7,73,2,18,207,57.1,62.3,51.6,69.9,2,1,75,0,16.1,79.0,6.8,5,14,0,6,2,3,4.0,377,7.0
Anu Solomon,46599,QB,BAYLOR,2,55.1,49,54,15.8,2.69,1,6,10.3,42.6,23,0,27,14.8,63,4,17,118,32.7,62.1,57.3,71.5,2,2,67,1,18.5,77.1,7.9,5,4,0,2,4,4,6.0,392,7.3
Tua Tagovailoa,60326,QB,ALABAMA,7,79.6,49,53,8.5,2.94,1,3,5.6,66.0,35,0,17,10.3,58,4,26,103,75.2,81.5,80.3,66.7,0,1,59,0,5.9,125.8,1.7,1,4,0,3,8,3,5.1,470,8.9
Mark Torrez,40106,QB,UTEP,7,41.5,41,48,11.8,3.35,2,0,0.0,29.2,14,0,21,17.6,62,3,8,330,71.7,28.0,27.2,55.5,0,2,65,0,28.6,22.2,9.7,6,8,0,5,0,6,9.2,126,2.6
Kendall Hinton,34045,QB,WAKE,5,72.1,43,47,14.0,3.04,1,4,8.2,57.4,27,0,26,12.9,59,4,19,339,60.8,73.8,80.8,59.1,2,0,62,0,19.2,113.7,8.5,5,7,0,1,4,0,0.0,399,8.5
Ryan Brand,37572,QB,MARYLAND,3,56.8,44,47,9.3,2.26,1,2,4.0,51.1,24,0,10,4.0,49,1,12,215,72.3,49.4,50.6,57.0,2,2,52,3,10.0,52.1,2.0,1,1,0,0,1,6,11.5,204,4.3
McLane Carter,37478,QB,TEXAS TECH,4,55.6,45,46,12.0,2.38,0,0,0.0,50.0,23,0,11,8.0,48,2,16,315,73.9,44.1,45.0,54.8,0,2,50,1,9.1,72.6,2.1,1,1,0,1,2,6,12.0,359,7.8
Keytaon Thompson,60457,QB,MISS STATE,7,51.2,43,46,11.0,2.78,0,1,2.1,45.7,21,0,19,4.5,59,1,12,227,28.8,62.5,47.2,71.2,1,1,62,0,26.3,69.2,8.5,5,8,0,2,2,4,6.5,261,5.7
Devon Modster,40118,QB,UCLA,4,72.7,44,45,9.1,2.46,1,3,6.7,66.7,30,0,13,6.3,52,2,14,324,40.7,57.4,62.8,42.0,0,0,52,0,23.1,107.3,5.8,3,4,0,0,2,4,7.7,376,8.4
Ahmad Bradshaw,46451,QB,ARMY,11,44.7,38,41,19.1,2.8,0,2,4.4,34.1,14,0,24,17.6,41,3,11,114,70.2,76.5,44.9,78.7,1,2,45,3,0.0,46.4,0.0,0,0,0,2,1,4,8.9,276,6.7
Will McBride,62974,QB,TENNESSEE,2,54.1,37,40,10.0,2.92,0,1,2.5,42.5,17,0,19,15.0,51,3,10,307,26.5,40.9,35.4,60.2,0,2,51,0,31.6,40.8,11.8,6,5,0,3,1,3,5.9,152,3.8
Beau Hoge,34606,QB,BYU,3,59.5,37,39,15.5,3.03,2,2,5.0,48.7,19,0,12,13.6,43,3,11,128,36.6,39.9,31.0,71.3,0,3,44,1,25.0,55.2,7.0,3,1,0,0,2,8,18.2,257,6.6
Kaymen Cureton,60477,QB,NEVADA,2,68.4,38,39,11.7,3.29,0,4,8.7,53.8,21,0,20,19.2,58,5,12,239,21.0,51.9,65.7,33.0,0,1,65,1,50.0,86.1,17.2,10,9,0,1,3,5,7.7,226,5.8
Zerrick Cooper,40465,QB,CLEMSON,5,71.1,38,39,10.0,2.15,1,0,0.0,61.5,24,0,9,11.1,43,3,11,140,42.2,49.5,46.0,61.5,0,0,45,0,33.3,97.2,7.0,3,1,0,0,2,3,6.7,250,6.4
Ryan Graham,26338,QB,N ILLINOIS,1,52.8,36,38,12.7,2.11,1,1,2.4,39.5,15,0,13,21.1,38,4,10,254,74.6,55.6,49.8,60.1,1,1,41,0,0.0,62.4,0.0,0,0,0,0,2,2,4.9,190,5.0
Johnathan Lewis,60520,QB,RUTGERS,4,48.6,35,37,7.4,2.57,1,0,0.0,37.8,14,0,14,17.6,42,3,8,278,78.0,38.1,27.7,64.9,1,4,44,1,21.4,30.9,7.1,3,2,0,0,2,5,11.4,167,4.5
Willie Jones III,60560,QB,TEXAS ST,8,59.4,32,37,11.8,2.97,1,2,5.1,48.6,18,0,28,5.3,48,1,11,314,36.5,57.1,50.4,65.8,0,1,50,1,25.0,63.0,14.6,7,4,0,4,0,1,2.0,281,7.6
Deondre Francois,46585,QB,FLORIDA ST,1,64.5,31,33,10.0,2.74,2,2,5.9,57.6,19,0,17,5.0,40,1,11,167,70.0,53.0,54.7,53.6,0,2,41,0,17.6,61.4,7.5,3,4,0,0,1,3,7.3,210,6.4
Mason Petrino,41294,WR,IDAHO,4,76.7,30,33,6.7,3.19,0,1,2.8,69.7,23,0,10,0.0,35,0,12,185,73.7,54.4,67.0,53.4,0,2,39,0,20.0,96.5,5.7,2,0,0,3,3,2,5.1,248,7.5
Jawon Pass,40916,QB,LOUISVILLE,4,81.3,32,33,7.4,2.21,1,1,3.0,69.7,23,0,7,11.5,37,3,10,210,41.3,75.3,75.1,63.1,0,0,37,0,57.1,109.3,10.8,4,0,0,0,2,2,5.4,229,6.9
Dustin Crum,60418,QB,KENT STATE,9,58.6,29,30,8.7,3.51,1,2,6.1,53.3,16,0,49,5.9,85,1,19,201,24.6,52.3,49.2,57.7,0,2,89,1,46.9,62.1,27.1,23,32,0,0,1,4,4.5,232,7.7
Patrick O'Brien,40273,QB,NEBRASKA,3,65.5,29,30,9.0,2.71,0,2,6.5,60.0,18,0,15,5.3,43,1,9,238,35.0,59.6,61.3,55.6,1,1,44,0,46.7,64.9,16.3,7,6,0,0,0,2,4.5,192,6.4
Kado Brown,31112,QB,GA SOUTHRN,6,71.4,28,30,12.4,3.07,1,3,9.7,60.0,18,0,23,10.0,45,2,14,174,27.8,57.3,65.3,52.3,0,2,48,0,30.4,84.0,15.6,7,7,0,1,1,2,4.2,350,11.7
Brooks Barden,37238,QB,CHARLOTTE,3,57.1,28,30,8.9,2.28,0,0,0.0,43.3,13,0,6,18.8,30,3,4,136,71.2,39.5,33.9,64.2,0,2,33,1,0.0,26.9,0.0,0,0,0,2,0,2,6.1,119,4.0
