player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Koy Detmer Jr.,33482,QB,BYU,1,42.1,19,20,9.8,2.35,0,0,0.0,35.0,7,0,2,12.5,20,1,5,128,68.5,28.7,28.0,57.5,0,3,20,0,0.0,10.6,0.0,0,0,0,1,0,4,20.0,91,4.6
Kurt Palandech,32214,QB,UNLV,2,58.8,17,19,9.3,2.69,1,0,0.0,42.1,8,0,7,20.0,22,2,3,325,38.1,28.3,26.5,53.1,1,2,24,1,14.3,10.1,4.5,1,2,0,0,0,4,16.7,48,2.5
Jordan Hoy,60510,QB,DOMINION,3,81.8,11,18,6.8,2.93,0,0,0.0,44.4,8,0,11,11.1,22,1,4,263,30.8,57.9,52.7,61.8,1,0,22,0,9.1,56.7,4.5,1,3,0,6,0,1,4.5,76,4.2
Kelvin Hopkins Jr.,41309,QB,ARMY,6,43.8,16,18,18.8,3.1,0,3,16.7,33.3,6,0,10,14.3,20,1,4,114,70.3,73.8,71.8,65.3,1,1,20,0,10.0,42.8,5.0,1,1,1,0,1,0,0.0,76,4.2
Johnathan Brantley,40093,QB,TULANE,2,68.8,16,17,10.8,2.46,1,1,5.0,58.8,10,0,7,9.1,21,1,3,319,39.4,52.1,28.3,67.9,0,1,24,0,42.9,51.3,14.3,3,1,0,0,0,3,12.5,101,5.9
Tony Poljan,40148,QB,C MICHIGAN,8,75.0,16,17,3.9,2.75,0,0,0.0,58.8,10,0,6,16.7,21,2,6,134,46.1,55.8,40.0,60.9,1,0,22,0,0.0,66.1,0.0,0,4,0,0,0,4,18.2,61,3.6
Jake Hubenak,32201,QB,TEXAS A&M,2,87.5,16,17,4.1,2.3,1,0,0.0,76.5,13,0,4,7.1,20,1,7,312,71.3,59.4,67.7,49.4,0,0,21,0,50.0,89.8,10.0,2,1,0,0,0,0,0.0,98,5.8
Isaac Stiebeling,41520,QB,E MICHIGAN,2,52.9,17,17,6.4,2.14,0,0,0.0,47.1,8,0,7,11.1,18,1,4,160,71.7,41.0,35.1,57.4,0,0,18,0,14.3,53.8,5.6,1,0,0,0,0,1,5.6,49,2.9
Nate Romine,46524,QB,AIR FORCE,5,56.3,16,16,15.2,3.01,0,1,5.9,56.3,9,0,9,0.0,22,0,7,101,17.1,38.9,33.2,55.6,0,1,23,0,44.4,57.6,18.2,4,2,0,0,0,5,21.7,133,8.3
Grant Loy,40276,QB,BOWL GREEN,6,75.0,16,16,10.4,2.95,0,0,0.0,56.3,9,0,8,25.0,21,3,6,122,75.2,80.1,84.6,64.2,0,2,22,0,50.0,51.3,19.0,4,1,0,0,0,0,0.0,161,10.1
Isaiah Sanders,60319,QB,AIR FORCE,2,40.0,15,15,14.7,2.89,0,0,0.0,26.7,4,0,2,33.3,17,2,3,101,81.9,64.0,37.6,70.6,0,1,18,0,100.0,11.8,11.8,2,0,0,0,0,2,11.1,33,2.2
Zack Blair,33413,QB,BALL ST,4,73.3,15,15,5.9,2.36,0,0,0.0,60.0,9,0,4,18.2,20,2,4,117,30.0,50.0,48.0,57.3,0,0,20,0,75.0,70.7,15.0,3,2,0,0,0,1,5.0,67,4.5
Sam Allen,40209,QB,S JOSE ST,3,46.2,13,13,12.5,2.76,0,0,0.0,38.5,5,0,7,16.7,17,1,2,285,70.7,41.5,30.9,65.2,0,2,17,0,42.9,7.4,17.6,3,1,0,0,0,2,11.8,40,3.1
Kaleb Barker,46494,QB,TROY,8,61.5,13,13,9.1,2.2,0,1,7.7,61.5,8,0,2,0.0,16,0,6,318,75.9,72.7,64.4,68.8,0,0,16,0,0.0,124.8,0.0,0,3,0,0,1,1,6.3,143,11.0
Tyrrell Pigrome,46511,QB,MARYLAND,1,81.8,11,12,16.1,2.53,0,2,16.7,75.0,9,0,0,0.0,12,0,6,215,72.9,83.9,92.2,59.9,0,1,13,0,,121.5,0.0,0,0,0,1,2,0,0.0,175,14.6
Joe Burrow,28022,QB,OHIO STATE,4,70.0,10,11,7.1,2.48,0,0,0.0,63.6,7,0,1,0.0,12,0,3,260,22.6,45.0,45.2,55.8,0,0,12,0,100.0,78.2,8.3,1,0,0,1,0,2,16.7,61,5.5
Robbie Kelley,60322,QB,AKRON,3,63.6,11,11,11.5,1.69,0,1,9.1,54.5,6,0,1,14.3,11,1,4,102,65.6,71.5,70.8,,0,0,11,0,0.0,119.9,0.0,0,0,0,0,1,0,0.0,111,10.1
Kyle Banks,39934,QB,MIDDLE TN,2,63.6,11,11,10.8,1.82,0,0,0.0,54.5,6,0,1,14.3,13,1,2,224,70.5,48.4,38.9,62.3,0,0,13,0,200.0,66.1,15.4,2,0,0,0,0,1,7.7,49,4.5
Matt Alviti,44954,QB,NWESTERN,2,63.6,11,11,15.0,3.04,0,1,9.1,63.6,7,0,3,0.0,13,0,6,256,67.8,88.8,80.7,76.1,0,0,13,0,0.0,125.2,0.0,0,2,0,0,1,1,7.7,105,9.5
Dalton Demos,32283,QB,COAST CAR,4,40.0,10,11,11.0,3.02,0,0,0.0,27.3,3,0,5,25.0,13,1,2,141,49.4,65.2,42.2,68.2,0,1,13,0,0.0,1.7,0.0,0,2,0,1,0,0,0.0,27,2.5
Drew Eckels,27245,QB,W KENTUCKY,4,72.7,11,11,8.8,2.53,0,1,8.3,72.7,8,0,5,0.0,13,0,3,346,72.5,58.9,51.0,65.1,0,1,14,0,40.0,57.4,15.4,2,0,0,0,0,1,7.1,86,7.8
Brett Kean,46591,QB,USF,4,63.6,11,11,8.4,2.3,0,0,0.0,63.6,7,0,3,0.0,13,0,5,327,69.3,57.5,61.2,52.7,0,0,13,0,33.3,79.4,7.7,1,1,0,0,0,1,7.7,64,5.8
A.J. Bush Jr.,60595,QB,VA TECH,3,72.7,11,11,14.5,2.22,0,0,0.0,63.6,7,0,3,12.5,11,1,6,337,76.7,74.7,71.1,67.4,0,0,13,0,0.0,122.9,0.0,0,0,0,0,1,0,0.0,99,9.0
Quentin Harris,26084,QB,DUKE,5,87.5,8,10,4.1,2.3,1,0,0.0,70.0,7,0,3,0.0,12,0,5,154,77.3,72.3,61.5,69.0,1,0,12,1,33.3,124.2,8.3,1,1,0,0,1,0,0.0,73,7.3
Zac Thomas,39989,QB,APP STATE,3,75.0,8,10,5.8,3.08,0,0,0.0,60.0,6,0,3,0.0,11,0,2,108,70.5,57.1,50.0,62.5,0,0,11,0,0.0,67.9,0.0,0,1,0,2,0,0,0.0,38,3.8
Chance Thrasher,54512,QB,COAST CAR,1,50.0,10,10,11.9,2.36,0,0,0.0,50.0,5,0,3,0.0,11,0,4,141,68.5,34.0,27.6,69.4,0,2,11,0,0.0,24.6,0.0,0,1,0,0,0,2,18.2,49,4.9
Taylor Cornelius,46535,QB,OKLA STATE,4,60.0,10,10,17.9,2.75,0,0,0.0,60.0,6,0,6,0.0,13,0,5,262,25.2,73.0,75.2,60.5,0,0,13,0,16.7,104.2,7.7,1,2,0,0,0,0,0.0,148,14.8
LaBaron Anthony,46561,QB,GA SOUTHRN,2,20.0,10,10,12.7,2.63,0,0,0.0,10.0,1,0,5,50.0,11,1,1,174,68.5,28.8,28.7,54.0,0,0,12,0,20.0,39.6,9.1,1,0,0,0,0,1,8.3,7,0.7
Micah Wilson,40104,QB,MISSOURI,4,66.7,9,10,7.1,1.99,0,0,0.0,50.0,5,0,2,16.7,12,1,2,229,46.5,43.4,34.3,57.0,0,1,13,0,100.0,24.2,16.7,2,0,0,1,0,1,7.7,48,4.8
K.J. Carta-Samuels,46525,QB,WASHINGTON,4,80.0,10,10,8.1,2.75,0,0,0.0,80.0,8,0,2,0.0,11,0,6,340,14.0,46.8,48.3,49.0,0,0,12,0,50.0,100.8,9.1,1,0,0,0,0,1,8.3,82,8.2
Chase Forrest,28221,QB,CAL,2,50.0,10,10,9.4,2.72,0,1,10.0,50.0,5,0,4,0.0,12,0,3,130,65.8,49.6,50.6,57.3,0,0,12,0,25.0,65.8,8.3,1,1,0,0,0,1,8.3,53,5.3
Aaron Winchester,46433,QB,GA STATE,2,80.0,10,10,6.0,3.37,0,0,0.0,60.0,6,0,13,25.0,20,2,6,175,22.1,37.3,38.6,48.7,0,1,21,0,30.8,88.3,20.0,4,6,0,0,1,1,4.8,102,10.2
David Moore,40713,QB,MEMPHIS,3,80.0,10,10,5.8,2.64,0,0,0.0,70.0,7,0,1,12.5,12,1,3,218,29.1,53.3,59.1,55.8,0,0,12,1,0.0,120.0,0.0,0,2,0,0,1,0,0.0,63,6.3
Lindell Stone,62774,QB,VIRGINIA,1,25.0,8,9,6.4,2.21,0,0,0.0,22.2,2,0,0,0.0,9,0,2,335,65.1,29.6,29.4,,0,2,9,0,,0.0,0.0,0,0,0,1,0,1,11.1,26,2.9
Matt Fink,40553,QB,USC,2,100.0,6,9,2.7,2.28,0,0,0.0,66.7,6,0,4,0.0,10,0,2,326,8.6,49.3,49.2,54.7,1,0,10,0,25.0,77.5,10.0,1,0,0,2,0,1,10.0,43,4.8
Ross Trail,13684,QB,CINCINNATI,1,66.7,9,9,5.7,2.31,0,0,0.0,55.6,5,0,4,16.7,11,1,1,138,69.3,64.4,55.9,69.5,0,0,12,0,50.0,62.7,18.2,2,0,0,0,0,0,0.0,31,3.4
Cole McDonald,38584,QB,HAWAII,3,55.6,9,9,10.2,2.59,0,0,0.0,55.6,5,0,1,0.0,10,0,2,180,34.7,50.5,34.2,62.1,0,0,10,0,0.0,97.9,0.0,0,1,0,0,1,1,10.0,22,2.4
Bryce Rivers,60589,QB,UTSA,1,62.5,8,8,6.6,2.52,0,0,0.0,62.5,5,0,2,0.0,9,0,1,331,21.9,34.7,45.1,44.0,0,2,9,0,50.0,37.0,11.1,1,0,0,0,0,1,11.1,43,5.4
J.J. Cosentino,28282,QB,FLORIDA ST,2,100.0,8,8,5.6,2.19,0,1,12.5,87.5,7,0,3,12.5,8,1,3,167,17.4,60.3,69.2,60.0,0,0,8,0,0.0,133.9,0.0,0,0,0,0,1,0,0.0,53,6.6
Jacob Eason,46444,QB,GEORGIA,3,57.1,7,7,6.6,3.11,0,0,0.0,57.1,4,0,4,0.0,10,0,2,173,20.7,29.7,27.7,56.9,0,0,10,0,50.0,66.4,20.0,2,1,0,0,0,1,10.0,28,4.0
Ryan Agnew,33451,QB,S DIEGO ST,3,71.4,7,7,14.1,3.95,0,1,12.5,57.1,4,0,3,20.0,10,1,4,284,73.7,69.6,71.9,61.4,0,0,12,0,33.3,77.7,10.0,1,2,0,0,0,0,0.0,47,6.7
Maurice Alexander,33465,QB,FIU,3,57.1,7,7,11.9,3.04,0,0,0.0,28.6,2,0,7,50.0,12,2,0,166,11.8,32.6,27.5,56.7,0,0,12,0,28.6,39.6,16.7,2,3,0,0,0,2,16.7,12,1.7
Ryan Burns,46394,QB,STANFORD,3,71.4,7,7,10.9,2.04,0,1,12.5,71.4,5,0,2,0.0,8,0,2,300,70.6,58.4,55.3,54.8,0,0,9,0,50.0,135.1,12.5,1,0,0,0,1,0,0.0,57,8.1
Evan Shirreffs,46552,QB,MIAMI FL,3,50.0,4,7,13.0,3.01,2,0,0.0,28.6,2,0,3,0.0,8,0,1,220,68.2,57.2,54.9,60.8,1,0,8,0,33.3,39.6,12.5,1,0,0,0,0,0,0.0,16,2.3
Mitchell Guadagni,34779,QB,TOLEDO,4,33.3,6,6,13.3,2.32,0,0,0.0,16.7,1,0,1,50.0,6,1,1,316,24.2,61.0,28.7,80.0,0,1,6,0,0.0,0.0,0.0,0,0,0,0,0,1,16.7,16,2.7
Quinn Shanbour,32073,QB,N TEXAS,3,100.0,5,6,13.2,2.19,0,2,28.6,66.7,4,0,2,20.0,7,1,3,251,69.8,86.3,90.9,66.8,0,0,8,0,0.0,120.8,0.0,0,1,1,0,1,0,0.0,34,5.7
Will Hefley III,39752,QB,TULSA,1,50.0,4,6,16.5,2.36,2,0,0.0,33.3,2,0,4,0.0,8,0,1,320,64.6,43.6,41.2,,0,2,8,0,50.0,2.8,25.0,2,0,0,0,0,1,12.5,15,2.5
Westin Elliott,60433,QB,LA TECH,1,50.0,6,6,13.3,2.07,0,0,0.0,50.0,3,0,1,0.0,6,0,3,208,65.7,67.3,60.9,63.2,0,0,6,0,0.0,99.3,0.0,0,0,0,0,1,0,0.0,23,3.8
Malik Willis,60341,QB,AUBURN,4,83.3,6,6,0.3,1.51,0,0,0.0,83.3,5,0,1,0.0,7,0,2,115,75.0,84.2,59.6,80.0,0,0,8,0,100.0,137.5,14.3,1,0,0,0,1,0,0.0,45,7.5
Devin C. Butler,48222,WR,SYRACUSE,5,66.7,6,6,13.0,3.99,0,0,0.0,66.7,4,1,5,0.0,8,0,4,304,38.7,48.7,77.3,70.0,0,0,8,2,0.0,134.7,0.0,0,2,0,0,1,0,0.0,54,9.0
Cristian Solano,33330,QB,NEVADA,2,83.3,6,6,4.2,2.68,0,0,0.0,83.3,5,0,0,0.0,6,0,2,239,65.7,66.3,65.3,60.0,0,0,6,0,,105.6,0.0,0,0,0,0,0,0,0.0,56,9.3
Michael Julian,30757,QB,TOLEDO,3,50.0,6,6,10.0,1.95,0,0,0.0,33.3,2,0,2,33.3,6,1,1,316,68.9,60.0,54.5,63.5,0,0,6,0,0.0,44.4,0.0,0,0,0,0,0,0,0.0,21,3.5
Andrew Celis,47478,WR,NEVADA,4,60.0,5,5,17.2,3.6,0,1,20.0,60.0,3,0,0,0.0,5,0,3,239,72.8,65.7,87.0,,0,0,5,0,,143.8,0.0,0,0,0,0,1,0,0.0,76,15.2
Tanner Schafer,42175,QB,OKLAHOMA,1,100.0,3,5,1.3,3.22,0,0,0.0,60.0,3,0,2,0.0,5,0,3,261,63.8,74.4,74.2,,0,0,5,0,0.0,67.1,0.0,0,0,0,2,0,0,0.0,18,3.6
Jack Coan,60613,QB,WISCONSIN,3,100.0,5,5,5.2,2.48,0,0,0.0,100.0,5,0,1,0.0,5,0,3,349,17.5,58.9,74.9,57.0,0,0,6,0,0.0,96.7,0.0,0,0,0,0,0,0,0.0,36,7.2
Blake Barnett,46627,QB,ARIZONA ST,2,60.0,5,5,8.2,1.88,0,0,0.0,60.0,3,0,0,0.0,5,0,2,110,67.0,38.8,38.1,56.9,0,1,6,0,,45.8,0.0,0,0,0,0,0,1,16.7,40,8.0
Jeff Smith,48055,WR,BOSTON COL,4,66.7,3,4,22.0,4.43,0,0,0.0,50.0,2,0,2,0.0,4,0,2,121,74.4,64.2,81.9,65.6,0,0,4,0,0.0,135.4,0.0,0,0,0,1,2,0,0.0,59,14.8
Lynn Bowden,61361,WR,KENTUCKY,5,75.0,4,4,23.5,3.94,0,0,0.0,75.0,3,0,2,0.0,5,0,3,202,57.9,74.2,65.8,62.3,0,1,6,1,0.0,77.1,0.0,0,1,0,0,0,1,16.7,92,23.0
Austin Wilson,38034,QB,COAST CAR,2,33.3,3,4,17.0,2.1,0,0,0.0,25.0,1,0,3,0.0,4,0,0,141,63.8,27.2,27.5,,1,0,5,0,0.0,39.6,0.0,0,0,0,0,0,1,20.0,7,1.8
Joel Lanning,46597,LB,IOWA STATE,2,75.0,4,4,8.3,1.65,0,0,0.0,75.0,3,0,0,0.0,4,0,2,193,79.8,72.8,51.1,72.3,0,0,4,1,,153.1,0.0,0,0,0,0,1,0,0.0,47,11.8
Drew Barker,26947,QB,KENTUCKY,3,66.7,3,4,13.3,3.0,1,1,16.7,50.0,2,0,4,0.0,8,0,1,202,19.0,44.1,63.2,36.4,0,0,10,0,75.0,78.1,37.5,3,1,0,0,0,1,10.0,33,8.3
Jamie Newman,44948,QB,WAKE,1,75.0,4,4,15.5,2.18,0,0,0.0,50.0,2,0,0,33.3,4,1,0,339,65.2,47.4,44.6,59.4,0,1,4,0,,16.7,0.0,0,0,0,0,0,1,25.0,8,2.0
Brice Ramsey,27649,QB,GEORGIA,2,25.0,4,4,13.0,2.6,0,0,0.0,25.0,1,0,1,0.0,4,0,1,173,68.8,34.5,29.5,58.8,0,2,4,1,0.0,0.0,0.0,0,0,0,0,0,2,50.0,10,2.5
Rafe Peavey,27966,QB,SMU,2,100.0,4,4,5.8,3.0,0,0,0.0,100.0,4,0,3,0.0,7,0,3,287,68.1,81.6,82.9,63.4,0,0,7,0,66.7,158.3,28.6,2,1,0,0,1,0,0.0,116,29.0
Isaiah Wright,40113,WR,TEMPLE,4,50.0,4,4,16.8,2.38,0,0,0.0,50.0,2,0,1,0.0,4,0,0,306,65.6,69.6,38.4,76.8,0,0,5,2,0.0,56.3,0.0,0,0,0,0,0,1,20.0,-5,-1.3
Anthony Ratliff-Williams,34629,WR,N CAROLINA,4,75.0,4,4,19.0,3.98,0,0,0.0,75.0,3,0,1,0.0,5,0,3,245,77.3,70.4,70.1,57.0,0,0,6,2,0.0,156.3,0.0,0,1,0,0,2,0,0.0,86,21.5
Matt Lynch,40546,QB,UCLA,1,66.7,3,3,6.0,2.98,0,0,0.0,66.7,2,0,1,0.0,4,0,1,324,65.5,67.9,69.0,61.0,0,0,5,0,0.0,112.5,0.0,0,1,0,0,1,0,0.0,11,3.7
Jacob Huesman,41939,QB,APP STATE,2,66.7,3,3,7.3,2.0,0,0,0.0,66.7,2,0,1,0.0,3,0,1,108,66.4,55.1,46.2,63.9,0,0,3,0,0.0,77.1,0.0,0,0,0,0,0,0,0.0,14,4.7
Jalan McClendon,46423,QB,NC STATE,1,66.7,3,3,1.7,2.4,0,0,0.0,66.7,2,0,2,0.0,3,0,0,248,70.4,69.2,56.1,67.8,0,0,3,0,0.0,81.3,0.0,0,0,0,0,0,0,0.0,17,5.7
Demari Simpkins,47553,WR,UTAH,4,100.0,2,3,5.0,5.0,0,0,0.0,66.7,2,0,1,0.0,4,0,2,328,41.6,62.9,87.0,61.0,0,0,4,1,0.0,123.6,0.0,0,1,0,1,1,0,0.0,19,6.3
Nacarius Fant,48276,WR,W KENTUCKY,2,100.0,2,3,22.0,4.23,0,0,0.0,66.7,2,0,2,0.0,3,0,2,346,70.8,73.5,85.6,,0,0,3,2,0.0,149.3,0.0,0,0,0,1,1,0,0.0,51,17.0
Jerrod Heard,47635,WR,TEXAS,4,66.7,3,3,11.7,4.1,0,0,0.0,66.7,2,1,0,0.0,5,0,2,311,76.0,66.6,60.5,67.1,0,0,6,2,,82.6,0.0,0,2,0,0,0,0,0.0,18,6.0
Conner Cramer,40413,WR,NEW MEX ST,3,66.7,3,3,17.3,3.87,0,0,0.0,33.3,1,0,1,50.0,3,1,1,242,31.5,64.4,72.5,57.5,0,0,3,0,0.0,93.1,0.0,0,0,0,0,1,0,0.0,17,5.7
Keondre Wudtee,40367,QB,OKLA STATE,1,33.3,3,3,3.7,2.03,0,0,0.0,33.3,1,0,1,0.0,3,0,0,262,19.7,28.3,28.0,48.0,0,0,4,0,0.0,42.4,0.0,0,0,0,0,0,1,25.0,7,2.3
De'Andre Johnson,60380,QB,FAU,1,66.7,3,3,10.0,2.37,0,0,0.0,66.7,2,0,0,0.0,3,0,1,165,70.4,53.8,41.6,63.5,0,1,3,0,,30.6,0.0,0,0,0,0,0,1,33.3,5,1.7
D.J. Gillins,30688,QB,SMU,3,33.3,3,3,24.3,3.08,0,1,25.0,33.3,1,0,1,0.0,6,0,2,287,29.7,55.0,41.2,61.2,0,0,7,0,100.0,121.5,16.7,1,2,0,0,1,1,14.3,76,25.3
Michael Carrillo,40323,QB,S JOSE ST,1,66.7,3,3,7.3,2.28,0,0,0.0,66.7,2,0,2,0.0,4,0,1,285,17.1,45.4,64.7,40.6,0,0,6,0,50.0,126.4,25.0,1,0,0,0,1,1,16.7,21,7.0
Lil'Jordan Humphrey,42247,WR,TEXAS,3,33.3,3,3,21.0,3.97,0,0,0.0,33.3,1,0,0,0.0,3,0,1,311,47.1,61.8,45.1,66.6,0,0,3,1,,67.4,0.0,0,0,0,0,0,1,33.3,27,9.0
Christian Blake,47900,WR,N ILLINOIS,4,66.7,3,3,11.3,3.85,0,0,0.0,66.7,2,2,0,0.0,4,0,2,254,24.5,56.4,59.9,55.2,0,0,5,5,,89.6,0.0,0,1,0,0,0,1,20.0,23,7.7
Casey Marksberry,40232,QB,COLORADO,1,66.7,3,3,8.0,1.93,0,0,0.0,66.7,2,0,0,0.0,3,0,0,143,62.7,28.7,28.9,60.0,0,0,3,0,,78.5,0.0,0,0,0,0,0,1,33.3,15,5.0
Damion Terry,27206,QB,MICH STATE,1,0.0,2,3,5.0,2.53,1,0,0.0,0.0,0,0,1,,3,0,0,223,67.7,46.4,38.6,59.5,0,0,3,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Ja'Marcus Bradley,27003,WR,LA LAFAYET,4,0.0,3,3,22.3,5.1,0,0,0.0,0.0,0,1,1,,4,0,1,207,73.0,63.3,44.5,64.3,0,0,4,2,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
Khalil McClain,60568,QB,TULANE,2,66.7,3,3,8.0,4.2,0,0,0.0,33.3,1,0,1,50.0,6,1,1,319,22.6,38.8,62.6,41.6,0,0,6,0,100.0,45.1,16.7,1,2,0,0,0,0,0.0,11,3.7
Isaac Holder,26315,WR,E MICHIGAN,3,100.0,3,3,26.7,3.93,0,0,0.0,100.0,3,0,1,0.0,3,0,3,160,74.4,67.9,92.1,,0,0,3,0,0.0,158.3,0.0,0,0,0,0,1,0,0.0,106,35.3
Ke'Mon Freeman,45849,HB,SMU,3,50.0,2,3,28.5,3.2,0,0,0.0,33.3,1,0,2,0.0,3,0,1,287,77.6,75.8,48.7,78.6,0,0,3,0,0.0,68.8,0.0,0,0,0,1,0,0,0.0,28,9.3
Nick Johns,35833,QB,AKRON,1,100.0,1,2,4.0,1.8,0,0,0.0,50.0,1,0,1,0.0,2,0,0,102,61.8,59.0,58.9,,0,0,2,0,0.0,56.3,0.0,0,0,0,1,0,0,0.0,4,2.0
Austin Conway,29618,WR,WYOMING,2,100.0,2,2,4.5,3.25,0,0,0.0,100.0,2,0,0,0.0,2,0,1,351,83.8,72.4,77.4,60.9,0,0,2,1,,112.5,0.0,0,0,0,0,0,0,0.0,22,11.0
Keishawn Watson,29607,WR,W MICHIGAN,2,100.0,2,2,4.5,3.15,0,0,0.0,100.0,2,0,0,0.0,2,0,2,347,73.9,76.2,80.2,62.7,0,0,3,0,,158.3,0.0,0,0,0,0,2,0,0.0,40,20.0
KaVontae Turpin,47658,WR,TCU,2,100.0,2,2,-6.0,2.9,0,0,0.0,100.0,2,0,0,0.0,2,0,2,305,86.4,77.0,62.1,63.7,0,0,2,1,,158.3,0.0,0,0,0,0,1,0,0.0,68,34.0
Josh Hokit,50305,HB,FRESNO ST,2,100.0,2,2,28.5,3.0,0,0,0.0,100.0,2,0,0,0.0,2,0,2,169,87.9,81.9,89.7,74.6,0,0,2,0,,158.3,0.0,0,0,0,0,2,0,0.0,81,40.5
Tyler Wiegers,35825,QB,IOWA,1,50.0,2,2,7.0,2.15,0,0,0.0,50.0,1,0,0,0.0,2,0,1,192,64.4,29.4,30.5,60.0,0,0,2,1,,95.8,0.0,0,0,0,0,1,1,50.0,3,1.5
Randall West,35805,QB,UMASS,1,0.0,2,2,0.5,1.75,0,0,0.0,0.0,0,0,0,,2,0,0,216,61.8,47.8,46.4,,0,0,2,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jett Duffey,41634,QB,TEXAS TECH,1,100.0,2,2,7.0,1.9,0,0,0.0,100.0,2,0,0,0.0,2,0,1,315,68.7,64.8,74.2,56.5,0,0,2,0,,100.0,0.0,0,0,0,0,0,0,0.0,16,8.0
Saquon Barkley,45791,HB,PENN STATE,2,100.0,2,2,9.0,2.4,0,0,0.0,100.0,2,0,0,0.0,2,0,2,266,91.1,82.8,72.7,83.0,0,0,2,0,,158.3,0.0,0,0,0,0,1,0,0.0,36,18.0
Mason Moran,40222,S,OREGON ST,1,50.0,2,2,5.0,2.55,0,0,0.0,0.0,0,0,1,100.0,2,1,0,265,20.4,23.8,21.0,54.8,0,0,2,0,0.0,39.6,0.0,0,0,0,0,0,1,50.0,0,0.0
Parker Boehme,39372,QB,DUKE,1,50.0,2,2,0.5,1.8,0,0,0.0,50.0,1,0,0,0.0,2,0,0,154,67.6,70.8,62.7,65.2,0,0,2,0,,56.3,0.0,0,0,0,0,0,0,0.0,6,3.0
Colten Rastetter,39656,P,IOWA,2,100.0,2,2,9.5,1.6,0,0,0.0,100.0,2,0,0,0.0,2,0,2,192,12.5,63.2,84.7,57.8,0,0,2,0,,118.8,0.0,0,0,0,0,0,0,0.0,33,16.5
Hutch White,41208,WR,TEXAS ST,2,100.0,2,2,9.5,3.35,0,0,0.0,100.0,2,0,0,0.0,2,0,2,314,85.1,66.8,73.9,57.2,0,0,2,1,,158.3,0.0,0,0,0,0,2,0,0.0,57,28.5
John Johnson,48283,WR,TROY,3,100.0,2,2,30.5,3.4,0,1,33.3,100.0,2,0,1,0.0,2,0,2,318,72.0,65.5,91.6,59.2,0,0,3,1,0.0,158.3,0.0,0,0,0,0,1,0,0.0,72,36.0
Aaren Vaughns,61782,WR,UTAH ST,2,50.0,2,2,41.5,4.15,0,1,50.0,50.0,1,0,0,0.0,2,0,1,329,72.0,60.5,76.0,75.7,0,0,2,0,,135.4,0.0,0,0,0,0,1,0,0.0,29,14.5
Yannis Routsas,26978,P,UTSA,2,100.0,1,2,0.0,2.5,0,0,0.0,50.0,1,0,1,0.0,2,0,0,331,10.2,36.5,58.3,60.0,1,0,2,0,0.0,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5
Todd Centeio,60552,QB,TEMPLE,2,100.0,2,2,8.5,2.48,0,0,0.0,100.0,2,0,2,0.0,4,0,0,306,66.6,63.8,70.2,55.9,0,0,4,0,100.0,108.3,50.0,2,0,0,0,0,0,0.0,20,10.0
Devin Adams,39892,QB,AUBURN,1,50.0,2,2,11.0,3.5,0,0,0.0,50.0,1,0,2,0.0,3,0,0,115,64.8,62.9,61.8,60.7,0,0,3,0,0.0,56.3,0.0,0,1,0,0,0,0,0.0,-1,-0.5
Billy Fessler,32960,QB,PENN STATE,1,50.0,2,2,1.0,3.05,0,0,0.0,50.0,1,0,0,0.0,2,0,0,266,66.2,64.2,62.7,60.1,0,0,2,0,,60.4,0.0,0,0,0,0,0,0,0.0,8,4.0
Luke Langdon,33213,QB,ARMY,2,0.0,2,2,13.0,3.05,0,0,0.0,0.0,0,0,2,,2,0,0,114,22.3,45.1,38.7,55.2,0,2,2,0,0.0,0.0,0.0,0,0,0,0,0,1,50.0,0,0.0
Steven Duncan,40211,QB,W KENTUCKY,1,100.0,2,2,1.0,1.2,0,0,0.0,100.0,2,0,0,0.0,2,0,0,346,61.8,62.0,61.7,,0,0,2,0,,79.2,0.0,0,0,0,0,0,0,0.0,2,1.0
DJ Moore,48267,WR,MARYLAND,2,100.0,2,2,0.0,5.45,0,0,0.0,100.0,2,0,1,0.0,2,0,1,215,81.7,83.2,74.3,85.6,0,0,2,1,0.0,97.9,0.0,0,0,0,0,0,0,0.0,15,7.5
Tyler Johnston III,60570,QB,UAB,1,50.0,2,2,0.5,1.9,0,0,0.0,50.0,1,0,0,0.0,2,0,1,321,69.6,57.0,54.6,59.1,0,0,2,0,,70.8,0.0,0,0,0,0,0,0,0.0,13,6.5
