player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Travis Wilson,12079,QB,UTAH,12,69.2,263,289,8.4,2.73,7,16,5.4,59.9,173,0,80,4.9,335,9,1,328,49.2,67.6,73.1,48.8,1,4,345,2,23.8,94.8,5.7,19,27,1,17,17,7,2.0,2008,6.9
Devin Gardner,9949,QB,MICHIGAN,12,71.1,270,283,8.9,2.8,6,7,2.4,61.5,174,0,102,9.4,349,18,3,222,37.0,61.9,61.6,56.2,3,15,359,1,26.5,70.9,7.7,27,39,0,4,10,16,4.5,1896,6.7
Trevor Knight,12009,QB,OKLAHOMA,9,69.2,263,282,10.8,2.62,5,7,2.4,57.8,163,0,63,10.4,308,19,1,261,67.7,66.0,66.5,56.7,1,9,321,2,11.1,86.0,2.3,7,19,2,11,14,16,5.0,2198,7.8
Cody Clements,17292,QB,UAB,11,74.0,269,280,9.5,2.61,3,15,5.1,65.7,184,0,96,7.5,332,15,1,321,66.6,71.9,70.7,62.7,3,8,348,3,25.0,94.6,7.2,24,28,1,4,14,16,4.6,2215,7.9
Quinn Kaehler,37765,QB,S DIEGO ST,11,68.0,256,280,10.3,2.74,6,13,4.5,56.4,158,0,103,9.2,303,16,3,284,60.8,57.3,58.2,40.8,3,10,316,4,18.4,74.9,6.3,19,4,0,15,9,20,6.3,2012,7.2
Daxx Garman,19183,QB,OKLA STATE,9,62.2,267,277,14.1,2.5,0,19,6.5,54.9,152,0,113,8.4,326,14,0,262,62.9,63.3,64.2,50.9,5,12,344,1,29.2,74.7,10.1,33,16,0,5,12,16,4.7,2025,7.3
Alex McGough,46420,QB,FIU,12,64.5,251,276,9.3,2.64,4,4,1.4,50.0,138,1,98,14.8,332,24,1,166,27.6,33.3,33.5,48.1,5,10,341,3,30.6,69.3,9.0,30,26,2,14,13,22,6.5,1655,6.0
Austin Appleby,12316,QB,PURDUE,9,64.1,251,273,7.9,2.82,6,8,2.8,52.7,144,0,133,10.6,297,17,2,273,28.8,56.9,59.4,49.5,5,11,307,3,8.3,63.8,3.7,11,13,0,11,10,12,3.9,1463,5.4
Brandon Bridge,16073,QB,S ALABAMA,10,66.7,255,273,12.0,2.67,1,14,4.9,50.9,139,0,100,18.2,308,31,3,288,66.7,67.3,65.2,62.6,6,6,326,3,18.0,77.5,5.8,18,17,1,10,14,15,4.6,1643,6.0
Nick Marshall,9829,QB,AUBURN,12,68.1,263,270,12.9,2.85,5,20,7.1,60.0,162,0,91,9.5,295,17,3,115,67.5,90.1,84.8,77.4,0,7,309,3,14.3,98.6,4.4,13,12,0,2,18,12,3.9,2275,8.4
Brandon Silvers,46483,QB,TROY,11,78.7,258,269,6.5,2.17,3,10,3.6,69.9,188,0,82,7.4,306,15,5,318,53.6,62.6,67.2,49.6,1,3,318,1,26.8,96.7,7.2,22,15,1,6,11,9,2.8,1769,6.6
Logan Woodside,46517,QB,TOLEDO,11,70.3,259,267,9.0,2.39,5,16,5.6,61.0,163,0,59,10.4,284,19,1,316,28.4,70.4,76.8,37.5,2,7,307,2,13.6,98.2,2.8,8,9,0,1,19,12,3.9,2082,7.8
Jameill Showers,9851,QB,UTEP,12,68.2,242,267,7.1,2.77,4,7,2.5,55.4,148,1,92,10.3,296,17,0,330,76.9,59.4,55.0,64.0,4,5,316,3,10.9,82.7,3.4,10,19,0,17,12,6,1.9,1745,6.5
Cole Stoudt,10142,QB,CLEMSON,12,70.3,249,266,7.3,2.38,5,7,2.6,61.7,164,0,87,6.3,295,11,0,140,64.3,47.4,48.4,49.6,4,10,302,0,14.9,69.7,4.4,13,16,1,7,6,18,6.0,1558,5.9
Hutson Mason,10168,QB,GEORGIA,12,76.7,249,266,9.0,2.5,2,19,6.8,66.9,178,0,78,6.8,290,13,4,173,61.5,84.9,87.2,51.3,1,4,302,3,16.7,108.3,4.5,13,11,0,14,20,13,4.3,2020,7.6
Greyson Lambert,46545,QB,VIRGINIA,9,69.5,246,261,7.9,2.52,6,10,3.6,59.0,154,0,84,9.9,279,17,0,335,44.8,70.4,69.9,54.4,5,11,294,0,14.3,72.5,4.3,12,6,0,4,10,15,5.1,1629,6.2
Chad Voytik,46471,QB,PITTSBURGH,12,69.3,241,254,9.9,2.68,4,14,5.2,62.2,158,0,104,5.4,299,9,2,268,54.4,68.2,67.7,59.3,2,7,314,1,20.2,95.0,7.0,21,23,1,6,15,13,4.1,2007,7.9
Justin Worley,15203,QB,TENNESSEE,7,71.0,238,253,9.5,2.6,1,12,4.6,62.1,157,0,108,7.1,290,12,3,307,47.4,70.4,69.1,60.0,4,8,302,1,25.9,82.3,9.7,28,9,0,10,12,12,4.0,1573,6.2
Drew Hare,46600,QB,N ILLINOIS,12,70.5,241,249,9.2,2.57,4,11,4.2,59.8,149,0,63,12.4,293,21,0,254,49.9,77.5,77.7,63.9,0,1,305,0,11.1,101.8,2.4,7,37,1,3,15,4,1.3,1878,7.5
Greg Ward,12258,QB,HOUSTON,11,75.6,234,246,7.4,2.94,3,10,3.9,66.7,164,0,85,7.3,309,13,3,182,61.8,72.4,78.5,64.8,0,7,321,2,22.4,87.5,6.1,19,44,4,5,9,8,2.5,1745,7.1
Luke Falk,46586,QB,WASH STATE,5,73.3,236,245,8.1,2.72,0,13,5.1,63.3,155,0,78,10.4,276,18,0,341,76.6,69.4,70.1,58.7,0,7,288,3,21.8,92.5,6.2,17,14,2,7,13,12,4.2,1879,7.7
Taylor Kelly,12900,QB,ARIZONA ST,9,62.0,237,245,10.5,2.73,1,10,3.9,57.6,141,0,83,4.1,286,6,2,110,59.6,58.7,61.0,52.3,0,5,300,3,30.1,100.6,8.7,25,16,0,7,20,7,2.3,1874,7.6
Michael Cummings,19940,QB,KANSAS,9,67.3,226,244,10.5,2.53,4,8,3.2,56.1,137,0,78,9.9,273,15,0,198,41.2,45.1,48.1,44.4,2,6,281,0,21.8,80.2,6.2,17,12,0,12,9,17,6.0,1715,7.0
Mike White,46453,QB,USF,11,63.1,225,241,9.9,2.86,3,13,5.2,50.6,122,0,81,14.1,266,20,2,327,34.6,52.6,58.1,29.1,6,7,281,4,18.5,71.6,5.6,15,10,0,7,8,11,3.9,1639,6.8
