player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Shane Carden,10001,QB,E CAROLINA,12,73.8,522,558,9.0,2.8,6,18,3.0,64.3,359,0,205,6.8,610,26,3,156,58.2,82.1,82.6,54.3,2,8,649,4,14.1,98.6,4.8,29,23,4,24,28,15,2.3,4312,7.7
Connor Halliday,9724,QB,WASH STATE,9,75.6,504,525,7.4,2.23,4,29,5.3,66.7,350,0,99,8.1,551,31,2,341,62.8,83.5,82.8,49.1,2,11,580,2,20.2,99.7,3.6,20,6,0,15,32,21,3.6,3840,7.3
Brandon Doughty,10857,QB,W KENTUCKY,12,75.4,495,512,8.6,2.45,6,24,4.5,67.2,344,0,126,7.8,544,29,0,346,64.9,85.0,84.2,54.2,4,10,561,1,15.9,114.0,3.7,20,12,0,7,44,14,2.5,4349,8.5
Jared Goff,10635,QB,CAL,12,71.8,471,508,10.2,2.45,9,30,5.6,61.6,313,0,174,7.4,555,25,2,130,41.5,85.9,85.6,52.1,10,7,589,3,14.4,103.1,4.5,25,22,1,17,35,15,2.5,3954,7.8
Pete Thomas,12587,QB,LA MONROE,12,71.9,455,504,7.2,2.58,10,14,2.7,59.9,302,0,263,7.6,590,25,1,209,61.5,60.7,64.7,41.3,7,6,615,1,17.5,82.7,7.8,46,40,2,30,14,10,1.6,3187,6.3
Sefo Liufau,12064,QB,COLORADO,12,75.1,461,498,6.9,2.7,4,18,3.4,65.1,324,0,146,6.4,539,22,3,143,46.0,69.2,69.5,50.1,5,15,571,0,12.3,89.1,3.3,18,23,0,28,28,20,3.5,3182,6.4
Anu Solomon,46599,QB,ARIZONA,12,67.7,465,488,9.7,2.46,2,21,4.0,57.4,280,0,113,11.1,544,35,2,109,59.7,72.5,74.4,52.6,0,7,581,2,23.9,91.5,5.0,27,29,2,19,27,10,1.7,3408,7.0
Dane Evans,46560,QB,TULSA,12,66.9,444,466,10.2,2.45,6,21,4.3,55.2,257,0,148,13.5,516,40,6,320,71.8,59.8,60.2,51.4,1,17,544,2,16.2,77.0,4.7,24,26,2,13,23,30,5.5,3098,6.6
Trevone Boykin,11279,QB,TCU,12,68.3,438,462,11.4,2.6,8,24,5.0,60.4,279,0,111,6.7,521,20,0,305,70.1,80.2,77.2,69.7,2,7,547,4,16.2,101.2,3.5,18,41,0,14,30,21,3.9,3709,8.0
Andrew Hendrix,14711,QB,MIAMI OH,12,55.9,424,460,14.1,2.74,3,31,6.4,48.0,221,0,193,6.8,537,16,0,221,39.7,58.1,59.9,54.5,3,9,564,5,22.3,80.3,8.0,43,34,0,30,23,25,4.4,3270,7.1
Taylor Heinicke,9896,QB,DOMINION,12,73.6,428,458,10.3,2.85,5,36,7.3,63.1,289,0,167,8.3,527,26,2,263,69.6,87.9,88.0,57.2,2,16,562,0,18.6,93.5,5.9,31,38,0,23,30,16,2.9,3464,7.6
Sean Mannion,9522,QB,OREGON ST,12,71.3,436,456,8.9,2.76,3,27,5.6,61.8,282,0,147,9.3,499,29,1,265,56.7,77.6,78.9,46.3,3,8,527,6,24.5,86.2,7.2,36,7,0,14,15,16,3.0,3169,6.9
Sam Richardson,18467,QB,IOWA STATE,11,67.6,423,455,7.7,2.77,14,17,3.6,55.8,254,0,145,11.2,522,32,2,193,67.5,65.4,60.6,70.8,2,9,546,3,17.9,77.9,5.0,26,41,2,14,18,22,4.0,2662,5.9
Blake Frohnapfel,19699,QB,UMASS,10,64.3,403,439,11.8,2.73,4,27,5.8,54.9,241,0,171,6.9,474,18,1,216,56.4,75.4,76.3,49.7,5,10,501,5,13.5,87.5,4.9,23,12,1,26,23,17,3.4,3340,7.6
Tyler Rogers,46638,QB,NEW MEX ST,12,68.9,412,437,7.4,2.25,6,16,3.5,61.1,267,0,87,6.0,456,17,2,242,34.9,56.4,57.6,46.7,1,23,476,2,10.3,71.9,2.0,9,10,0,18,19,28,5.9,2760,6.3
Christian Hackenberg,10685,QB,PENN STATE,12,64.4,405,436,8.7,2.71,8,20,4.4,54.1,236,0,174,9.6,506,25,1,266,51.3,43.9,48.1,37.2,3,15,529,3,24.7,63.8,8.5,43,27,1,19,8,21,4.0,2595,6.0
Nick Arbuckle,16351,QB,GA STATE,12,70.3,401,429,9.6,2.39,9,34,7.5,59.9,257,0,143,8.9,477,25,2,175,51.2,82.2,83.6,53.7,1,17,504,3,21.7,85.2,6.5,31,17,2,16,23,18,3.6,3276,7.6
James Knapke,46506,QB,BOWL GREEN,11,67.9,392,426,9.8,2.44,11,23,5.1,57.7,246,0,98,7.5,463,20,1,122,56.4,57.7,60.6,43.0,0,10,489,5,14.3,76.8,3.0,14,23,0,23,13,21,4.3,2681,6.3
Anthony Boone,9751,QB,DUKE,12,67.3,394,425,8.4,2.2,15,16,3.6,56.2,239,0,101,9.8,440,26,4,154,64.8,62.7,61.2,63.7,4,7,454,5,9.9,80.0,2.3,10,5,0,12,17,20,4.4,2504,5.9
Clint Trickett,15673,QB,W VIRGINIA,11,74.4,410,424,8.4,2.71,5,18,4.0,66.3,281,0,111,7.9,460,24,2,343,48.8,76.0,74.6,58.4,2,10,485,3,20.7,93.9,5.0,23,13,0,7,18,21,4.3,3285,7.7
Ikaika Woolsey,46495,QB,HAWAII,13,63.3,390,424,11.3,2.89,6,20,4.5,49.3,209,0,159,15.4,505,38,3,180,64.2,58.7,60.3,51.6,1,13,528,3,25.2,65.5,7.9,40,41,5,22,13,28,5.3,2530,6.0
Michael Brewer,19619,QB,VA TECH,12,71.2,378,419,9.3,2.89,10,19,4.3,58.9,247,1,169,8.2,473,22,4,337,66.2,69.7,70.3,55.8,0,14,500,4,17.8,76.4,6.3,30,24,1,30,17,19,3.8,2577,6.2
Dylan Thompson,9696,QB,S CAROLINA,12,68.0,397,419,10.5,2.74,3,20,4.5,59.2,248,0,143,8.1,450,22,2,289,52.5,72.6,75.2,44.4,1,11,472,2,14.0,92.2,4.4,20,11,1,17,24,19,4.0,3281,7.8
Everett Golson,18665,QB,NOTRE DAME,12,73.0,381,419,10.0,2.88,10,22,5.0,59.9,251,0,148,9.7,488,27,3,258,29.2,78.1,78.7,58.6,7,14,512,2,20.9,94.5,6.4,31,38,0,21,29,20,3.9,3355,8.0
Cody Kessler,10727,QB,USC,12,81.0,394,414,8.0,2.78,5,21,4.8,70.3,291,0,164,8.8,453,28,3,326,65.0,92.8,92.7,56.9,1,4,475,3,17.1,120.7,6.2,28,11,0,14,36,9,1.9,3490,8.4
Blake Decker,16932,QB,UNLV,13,64.4,390,407,11.6,2.93,6,20,4.7,57.0,232,0,180,7.6,508,19,2,325,71.6,63.6,62.8,60.4,2,18,535,2,20.0,72.9,7.1,36,65,2,7,15,20,3.8,2874,7.1
Cody Sokol,14536,QB,LA TECH,12,68.9,376,404,9.8,2.35,11,26,6.1,59.2,239,0,123,7.7,427,20,1,208,52.2,74.0,75.0,52.0,4,12,450,3,12.2,94.9,3.5,15,8,3,10,29,22,4.9,3099,7.7
Colin Reardon,22806,QB,KENT STATE,11,67.3,382,403,7.5,2.25,2,12,2.8,56.6,228,0,91,11.3,423,29,0,201,69.0,53.4,52.6,59.9,1,16,442,2,11.0,69.7,2.4,10,10,0,18,14,26,5.9,2457,6.1
Fredi Knighten,17824,QB,ARK STATE,12,73.8,362,402,7.6,2.88,9,18,4.3,61.4,247,0,164,7.5,476,20,4,113,40.0,66.8,70.3,53.9,2,7,503,2,20.1,91.7,6.9,33,41,1,28,19,18,3.6,2886,7.2
Patrick Towles,46478,QB,KENTUCKY,12,69.9,362,395,8.9,2.55,14,17,4.2,56.7,224,0,138,11.5,457,29,4,202,45.1,59.3,54.7,66.4,2,9,469,5,24.6,79.0,7.4,34,28,1,16,13,24,5.1,2674,6.8
Trevor Siemian,9683,QB,NWESTERN,11,68.9,367,394,8.3,2.66,13,18,4.4,57.9,228,0,137,9.9,443,25,5,256,48.6,75.4,72.8,61.4,3,11,463,3,21.2,68.1,6.5,29,20,0,11,7,16,3.5,2227,5.7
Marquise Williams,11419,QB,N CAROLINA,12,71.2,365,392,7.9,2.65,12,12,2.9,62.2,244,0,165,6.2,446,16,2,245,41.6,73.4,67.4,72.2,1,9,470,3,14.5,91.8,5.4,24,30,0,14,20,18,3.8,2865,7.3
Jameis Winston,9434,QB,FLORIDA ST,11,72.0,379,392,8.9,2.69,2,17,4.2,65.1,255,0,130,6.6,428,18,2,167,68.8,81.8,79.4,67.6,2,17,448,1,11.5,90.5,3.5,15,21,0,9,21,16,3.6,3241,8.3
Garrett Grayson,9508,QB,COLO STATE,12,75.5,364,389,10.3,2.72,9,24,5.9,65.0,253,0,123,8.0,438,22,0,144,40.0,79.3,81.6,42.7,1,6,457,1,20.3,117.7,5.7,25,24,0,15,32,18,3.9,3778,9.7
P.J. Walker,12134,QB,TEMPLE,12,65.1,355,385,8.6,2.77,10,15,3.8,52.7,203,0,131,12.1,430,28,0,306,30.0,42.3,42.1,52.0,2,15,445,4,14.5,66.2,4.4,19,26,1,17,13,28,6.3,2324,6.0
Kyle Pohl,16451,QB,AKRON,10,68.7,361,385,8.5,2.49,4,10,2.5,54.5,210,0,112,15.3,424,38,0,102,52.5,63.7,65.9,43.2,0,8,440,0,17.0,70.4,4.5,19,20,1,19,9,12,2.7,2193,5.7
Bryce Petty,9536,QB,BAYLOR,11,72.2,360,379,11.9,2.42,5,22,5.6,61.7,234,0,82,10.0,414,26,3,118,62.7,83.3,87.1,48.3,2,6,432,3,20.7,106.1,4.1,17,18,1,11,26,8,1.9,3305,8.7
Tyler Jones,46534,QB,TEXAS ST,12,74.8,357,378,6.8,2.38,5,11,2.8,65.1,246,0,118,7.9,419,21,0,314,44.4,64.4,66.8,55.4,1,7,438,4,20.3,97.5,5.7,24,17,1,14,22,13,3.0,2675,7.1
Cody Fajardo,9976,QB,NEVADA,12,68.3,360,374,9.4,2.7,5,11,2.8,59.9,224,0,90,8.9,419,22,1,239,76.5,77.4,73.2,70.1,2,11,438,0,18.9,82.0,4.1,17,28,0,7,18,20,4.6,2355,6.3
Matt Linehan,46436,QB,IDAHO,11,69.6,352,374,9.1,2.93,7,14,3.5,58.6,219,0,195,10.6,450,26,0,185,53.6,55.9,55.4,56.3,1,18,479,0,22.6,68.7,9.8,44,32,0,14,11,25,5.2,2519,6.7
Brett Hundley,9580,QB,UCLA,12,79.2,351,372,7.5,2.83,5,15,3.8,69.4,258,0,127,7.2,464,20,0,324,26.0,71.3,72.8,57.3,2,5,490,0,30.7,106.8,8.4,39,53,3,11,21,16,3.3,3005,8.1
Brian Burrell,17419,QB,FRESNO ST,12,69.5,347,370,9.4,2.64,6,10,2.6,57.0,211,0,115,12.4,416,30,1,169,69.4,74.4,70.8,69.2,0,13,434,0,26.1,79.1,7.2,30,16,3,14,21,10,2.3,2237,6.0
Paxton Lynch,10660,QB,MEMPHIS,12,74.6,351,370,8.4,2.48,3,22,5.7,63.8,236,0,122,9.9,405,26,4,218,59.5,80.7,82.3,59.4,0,6,421,3,11.5,96.1,3.5,14,21,0,16,18,13,3.1,2789,7.5
Rakeem Cato,14642,QB,MARSHALL,12,64.4,360,369,14.9,2.75,1,46,11.7,58.8,217,0,72,6.5,416,15,4,214,51.0,87.7,84.0,74.7,3,12,445,3,23.6,106.5,4.1,17,30,1,4,35,18,4.0,3308,9.0
Nick Mullens,12282,QB,SO MISS,10,71.1,336,367,9.2,2.45,6,14,3.7,59.1,217,0,135,9.2,407,22,0,296,50.4,70.5,70.3,58.3,9,10,425,2,15.6,78.8,5.2,21,19,1,15,12,12,2.8,2461,6.7
John Wolford,46454,QB,WAKE,12,69.6,326,366,7.5,3.03,10,8,2.1,58.2,213,0,192,6.2,431,14,1,339,64.7,59.4,62.3,46.5,5,14,455,3,23.4,68.7,10.4,45,20,0,25,12,16,3.5,2034,5.6
Maty Mauk,46507,QB,MISSOURI,12,65.6,331,366,10.2,3.05,4,23,5.9,53.0,194,0,137,10.6,421,23,2,229,77.9,67.7,63.9,72.4,2,11,446,12,12.4,79.7,4.0,17,38,0,29,22,17,3.8,2278,6.2
Grant Hedrick,12753,QB,BOISE ST,12,80.2,343,365,7.9,2.62,4,15,4.0,71.2,260,0,119,5.5,438,15,2,120,66.7,90.0,90.4,61.9,1,13,454,3,19.3,101.9,5.3,23,50,1,16,21,14,3.1,3163,8.7
Gunner Kiel,24708,QB,CINCINNATI,12,67.3,349,364,10.3,2.48,7,21,5.5,59.9,218,0,64,7.2,384,17,3,138,56.5,74.7,76.9,53.9,2,11,405,4,15.6,100.9,2.6,10,10,1,5,30,14,3.5,2974,8.2
Bo Wallace,12806,QB,OLE MISS,12,70.3,340,361,9.3,2.57,10,15,4.0,60.9,220,1,134,7.9,409,19,3,226,52.9,71.4,75.4,50.9,1,11,427,3,21.6,96.2,7.1,29,19,1,9,22,20,4.7,3093,8.6
Colby Kirkegaard,15685,QB,WYOMING,12,69.6,319,361,10.2,2.91,9,14,3.8,57.1,206,0,160,7.2,420,16,3,351,54.6,67.5,68.7,51.4,5,9,431,3,25.0,81.0,9.5,40,19,1,27,12,16,3.7,2658,7.4
Tyrone Swoopes,12267,QB,TEXAS,11,67.3,339,357,9.6,2.85,4,17,4.5,58.3,208,0,143,8.8,415,20,2,311,56.0,64.0,64.4,57.9,3,10,437,3,17.5,78.2,6.0,25,33,0,11,13,21,4.8,2318,6.5
Jake Waters,9833,QB,KANSAS ST,12,74.8,330,350,10.1,3.01,5,17,4.5,66.0,231,0,109,6.5,393,16,0,199,57.1,82.4,88.5,54.8,2,6,420,2,23.9,106.6,6.6,26,17,0,13,20,13,3.1,3163,9.0
Joe Licata,11390,QB,BUFFALO,11,74.2,325,350,9.9,2.82,5,19,5.1,64.3,225,0,105,6.6,376,16,2,126,64.9,68.2,68.6,48.8,4,11,404,0,15.2,101.7,4.3,16,10,2,14,29,16,4.0,2648,7.6
Brad Kaaya,11970,QB,MIAMI FL,12,66.0,326,348,9.9,2.49,6,16,4.4,58.3,203,0,96,5.6,371,12,4,220,67.8,66.1,65.7,54.4,5,11,385,4,19.8,96.8,5.1,19,3,0,11,25,18,4.7,2952,8.5
Davis Webb,11842,QB,TEXAS TECH,8,71.3,335,347,8.6,2.35,4,21,5.8,60.8,211,0,85,11.7,355,28,1,315,56.3,74.7,75.3,52.2,1,13,373,4,4.7,90.8,1.1,4,4,1,6,24,21,5.6,2547,7.3
Dak Prescott,10769,QB,MISS STATE,12,69.0,332,345,9.8,2.76,4,17,4.7,61.2,211,0,121,7.9,388,18,3,227,72.9,67.9,67.2,60.4,4,10,406,0,15.7,100.3,4.9,19,24,0,5,24,17,4.2,2996,8.7
Jacoby Brissett,10725,QB,NC STATE,12,70.1,311,344,9.7,2.98,6,16,4.4,59.6,205,0,137,6.0,431,13,1,248,37.8,80.0,69.4,86.2,1,5,454,0,20.4,95.4,6.5,28,59,1,25,22,15,3.3,2344,6.8
Justin Holman,46581,QB,UCF,12,71.8,319,340,10.4,2.68,6,11,3.0,58.8,200,0,136,12.7,401,29,0,323,56.3,64.7,66.5,54.1,10,13,426,1,19.9,87.4,6.7,27,34,1,4,20,16,3.8,2659,7.8
Jake Rudock,10825,QB,IOWA,11,73.1,312,340,9.2,2.8,10,15,4.2,62.1,211,0,113,7.5,384,17,3,192,58.6,71.7,75.2,47.4,4,5,400,2,15.0,92.8,4.4,17,27,0,14,16,12,3.0,2404,7.1
Cooper Rush,12324,QB,C MICHIGAN,12,73.6,314,339,9.5,2.65,9,12,3.4,63.4,215,0,103,6.9,370,16,1,134,46.7,82.2,79.1,70.6,8,12,388,2,22.3,92.6,6.2,23,8,0,8,20,13,3.4,2664,7.9
Austin Grammer,23315,QB,MIDDLE TN,12,76.4,314,337,8.0,2.81,1,16,4.5,65.6,221,0,143,7.9,407,19,2,224,41.0,76.0,75.1,63.2,0,12,423,1,18.2,90.5,6.4,26,44,0,22,17,15,3.5,2571,7.6
Tanner Lee,38321,QB,TULANE,10,62.0,329,337,10.1,2.38,5,9,2.5,54.9,185,0,118,9.3,369,19,2,319,78.2,43.0,43.0,52.6,2,14,389,2,18.6,66.8,6.0,22,10,0,1,12,26,6.7,1975,5.9
Kevin Hogan,10796,QB,STANFORD,12,72.0,328,335,9.2,2.63,2,16,4.5,65.1,218,0,75,7.6,387,18,1,300,40.8,68.9,74.4,45.2,0,8,406,3,26.7,95.6,5.2,20,32,1,4,17,22,5.4,2599,7.8
Marcus Mariota,9435,QB,OREGON,12,77.4,323,333,10.0,2.84,2,19,5.4,68.5,228,0,102,8.8,393,22,2,264,53.8,93.2,91.7,82.6,0,2,412,2,29.4,136.0,7.6,30,30,0,8,36,10,2.4,3466,10.4
Joe Gray,16729,QB,S JOSE ST,11,73.3,307,329,8.5,2.61,6,16,4.7,63.5,209,0,107,7.1,357,16,0,285,32.2,75.7,76.9,55.0,1,9,369,0,12.1,83.9,3.6,13,15,0,15,11,14,3.8,2303,7.0
Blake Sims,11515,QB,ALABAMA,12,73.4,312,328,9.9,2.83,5,15,4.4,62.8,206,0,72,10.0,369,23,2,103,72.5,89.9,87.9,70.2,0,7,382,2,12.5,107.7,2.4,9,32,1,10,24,10,2.6,2974,9.1
C.J. Brown,14571,QB,MARYLAND,12,65.2,310,327,9.4,2.67,6,17,5.0,53.2,174,0,141,13.9,381,28,1,215,61.2,57.0,49.8,70.0,2,9,393,2,21.3,74.8,7.9,30,24,0,9,13,20,5.1,2083,6.4
Zach Terrell,12086,QB,W MICHIGAN,12,77.8,311,326,7.4,2.58,4,14,4.2,69.6,227,0,84,6.2,374,15,2,347,68.3,75.6,71.9,68.3,2,10,387,0,22.6,110.4,5.1,19,29,2,7,23,17,4.4,3097,9.5
Connor Cook,10734,QB,MICH STATE,12,64.3,314,324,11.1,2.71,2,22,6.5,58.0,188,0,85,6.9,345,14,1,223,46.5,79.6,81.5,49.3,2,6,362,1,15.3,102.6,3.8,13,8,0,6,22,17,4.7,2900,9.0
Kenny Hill,46637,QB,TEXAS A&M,8,77.3,313,322,9.4,2.72,4,15,4.5,66.1,213,0,78,12.0,361,29,5,312,63.5,78.6,79.8,54.5,0,8,370,3,19.2,104.8,4.2,15,24,0,5,23,11,3.0,2641,8.2
Terrance Broadway,15286,QB,LA LAFAYET,12,73.7,285,318,7.5,2.81,3,5,1.5,60.7,193,0,151,8.1,363,17,4,207,72.1,63.5,60.1,63.5,7,9,375,3,12.6,80.5,5.2,19,26,2,21,12,17,4.5,2062,6.5
Brandon Allen,10835,QB,ARKANSAS,12,66.2,290,317,10.1,2.77,4,11,3.3,56.2,178,0,106,7.3,343,14,2,111,45.1,68.0,69.6,51.9,0,5,357,5,12.3,89.2,3.8,13,13,0,23,18,16,4.5,2127,6.7
Jaquez Johnson,18005,QB,FAU,11,65.9,293,315,10.4,2.62,7,13,4.0,57.5,181,0,99,6.2,360,12,2,165,60.2,65.5,65.2,60.5,0,5,379,2,17.2,90.8,4.7,17,28,0,15,17,10,2.6,2229,7.1
J.T. Barrett IV,46387,QB,OHIO STATE,12,73.2,295,312,9.7,2.78,5,15,4.7,64.4,201,0,121,6.9,382,15,0,260,85.7,81.3,68.1,84.8,3,10,393,2,24.0,116.4,7.6,29,41,0,9,34,12,3.1,2819,9.0
Gary Nova,12894,QB,RUTGERS,12,63.8,298,308,9.9,2.58,4,18,5.6,57.8,178,0,107,6.3,342,12,0,278,55.8,72.3,72.3,60.8,0,12,355,5,17.8,91.8,5.6,19,15,1,5,20,13,3.7,2675,8.7
Driphus Jackson,19062,QB,RICE,12,68.2,292,308,10.5,2.84,3,17,5.3,57.1,176,0,91,11.6,359,23,1,275,69.8,75.2,76.4,61.3,1,8,376,4,27.5,96.0,7.0,25,26,0,12,21,12,3.2,2542,8.3
Christian Stewart,13086,QB,BYU,8,68.8,288,301,12.0,3.04,6,16,5.0,58.8,177,0,133,10.6,350,21,0,128,51.1,77.3,77.5,59.9,1,6,368,1,13.5,98.6,5.1,18,31,0,6,22,12,3.3,2273,7.6
Taylor Lamb,46422,QB,APP STATE,12,68.2,280,296,10.8,2.74,5,14,4.3,61.5,182,0,96,4.7,323,9,1,108,74.8,67.2,62.7,69.0,0,9,352,3,8.3,93.3,2.5,8,19,0,11,17,12,3.4,2382,8.0
Tommy Armstrong Jr.,46589,QB,NEBRASKA,12,60.0,285,296,12.3,2.76,3,14,4.5,51.4,152,0,124,11.1,330,19,4,238,37.6,61.0,57.7,61.5,1,11,347,1,15.3,83.4,5.8,19,15,2,5,19,22,6.3,2314,7.8
Cyler Miles,24224,QB,WASHINGTON,11,73.9,276,293,7.2,2.78,3,7,2.3,66.2,194,0,115,4.9,357,10,2,340,26.6,64.1,66.9,54.4,1,3,373,3,18.3,101.5,5.9,21,43,0,13,16,14,3.8,2129,7.3
